"id","commonname","run","recoverydomain","esu_dps","majorpopgroup","popid","commonpopname","popfit","estimatetype","waterbody","spawningyear","contactagency","methodnumber","bestvalue","url","nullrecord","datastatus","contactpersonfirst","contactpersonlast","contactphone","contactemail","submitagency","refid","upddate","dataentry","compilerrecordid","publish","tsaej","tsaejlowerlimit","tsaejupperlimit","tsaejalpha","age3prop","age4prop","age5prop","age6prop","nosaej","nosaejlowerlimit","nosaejupperlimit","nosaejalpha","phosej","phosejlowerlimit","phosejupperlimit","phosejalpha","age3proplowerlimit","age3propupperlimit","age4proplowerlimit","age4propupperlimit","age5proplowerlimit","age5propupperlimit","agepropalpha","protmethdocumentation","age6proplowerlimit","age6propupperlimit","comments","tsaij","otherdatasources","escapementtiming","nosaij","phosij","popfitnotes","methodadjustments","nobroodstockremoved","age2prop","escapementlong","escapementlat","age7prop","age8prop","tsaijlowerlimit","tsaijupperlimit","nosaijlowerlimit","nosaijupperlimit","nosaijalpha","tsaijalpha","phosijlowerlimit","phosijupperlimit","phosijalpha","age2proplowerlimit","age2propupperlimit","age7proplowerlimit","age7propupperlimit","age8proplowerlimit","age8propupperlimit","age9prop","age10prop","age11plusprop"
"1aa89e06-c428-ac62-b210-d9784900c8d3","Chinook salmon","Fall","Willamette/Lower Columbia","Salmon, Chinook (Lower Columbia River ESU)","Cascade","217","Lewis River Fall (Tule) Chinook","Same","NOSA","Lewis River","1997","Washington Department of Fish and Wildlife","1","Yes","https://fortress.wa.gov/dfw/score/score/species/population_details.jsp?stockId=1610","Yes","Final","Elise","Olk","360-696-6211","Elise.Olk@dfw.wa.gov","WDFW","12576",2022-08-15,"Lensegrav","1AA89E06-C428-AC62-B210-D9784900C8D3","No","1737",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No indicator data available this year. No age data availabe at this time",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9d540c27-4560-4e9f-ba45-a237ad663218","Chinook salmon","Fall","Willamette/Lower Columbia","Salmon, Chinook (Lower Columbia River ESU)","Cascade","217","Lewis River Fall (Tule) Chinook","Same","NOSA","Lewis River","1997","Washington Department of Fish and Wildlife","1","Yes","https://wdfw.wa.gov/publications/02214","Yes","Reviewed","Elise","Olk","360-696-6211","Elise.Olk@dfw.wa.gov",NA,"17377",2023-03-07,"Lensegrav","9D540C27-4560-4E9F-BA45-A237AD663218","No","329","123","839","0.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Estimates of Adult Fall Chinook Salmon Escapement in Lower Columbia River Tributaries, 1943-2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1a6fd8b5-91f5-299d-a11d-62f7023b900f","Chinook salmon","Fall","Willamette/Lower Columbia","Salmon, Chinook (Lower Columbia River ESU)","Cascade","217","Lewis River Fall (Tule) Chinook","Same","NOSA","Lewis River","1998","Washington Department of Fish and Wildlife","1","Yes","https://fortress.wa.gov/dfw/score/score/species/population_details.jsp?stockId=1610","Yes","Final","Elise","Olk","360-696-6211","Elise.Olk@dfw.wa.gov","WDFW","12576",2022-08-15,"Lensegrav","1A6FD8B5-91F5-299D-A11D-62F7023B900F","No","1329",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No indicator data available this year. No age data availabe at this time",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2ffb410a-0717-438b-a248-d33659351658","Chinook salmon","Fall","Willamette/Lower Columbia","Salmon, Chinook (Lower Columbia River ESU)","Cascade","217","Lewis River Fall (Tule) Chinook","Same","NOSA","Lewis River","1998","Washington Department of Fish and Wildlife","1","Yes","https://wdfw.wa.gov/publications/02214","Yes","Reviewed","Elise","Olk","360-696-6211","Elise.Olk@dfw.wa.gov",NA,"17377",2023-03-07,"Lensegrav","2FFB410A-0717-438B-A248-D33659351658","No","154","57","391","0.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Estimates of Adult Fall Chinook Salmon Escapement in Lower Columbia River Tributaries, 1943-2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1ab1e5fd-c309-beab-09d1-7dc89a4426df","Chinook salmon","Fall","Willamette/Lower Columbia","Salmon, Chinook (Lower Columbia River ESU)","Cascade","217","Lewis River Fall (Tule) Chinook","Same","NOSA","Lewis River","1999","Washington Department of Fish and Wildlife","1","Yes","https://fortress.wa.gov/dfw/score/score/species/population_details.jsp?stockId=1610","Yes","Final","Elise","Olk","360-696-6211","Elise.Olk@dfw.wa.gov","WDFW","12576",2022-08-15,"Lensegrav","1AB1E5FD-C309-BEAB-09D1-7DC89A4426DF","No","1249",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No indicator data available this year. No age data availabe at this time",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"424999b7-629f-46da-b979-8d1cfa74e5d4","Chinook salmon","Fall","Willamette/Lower Columbia","Salmon, Chinook (Lower Columbia River ESU)","Cascade","217","Lewis River Fall (Tule) Chinook","Same","NOSA","Lewis River","1999","Washington Department of Fish and Wildlife","1","Yes","https://wdfw.wa.gov/publications/02214","Yes","Reviewed","Elise","Olk","360-696-6211","Elise.Olk@dfw.wa.gov",NA,"17377",2023-03-07,"Lensegrav","424999B7-629F-46DA-B979-8D1CFA74E5D4","No","293","109","745","0.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Estimates of Adult Fall Chinook Salmon Escapement in Lower Columbia River Tributaries, 1943-2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1a61668a-0897-8d2b-6885-35e2c7ca36f8","Chinook salmon","Fall","Willamette/Lower Columbia","Salmon, Chinook (Lower Columbia River ESU)","Cascade","217","Lewis River Fall (Tule) Chinook","Same","NOSA","Lewis River","2000","Washington Department of Fish and Wildlife","1","Yes","https://fortress.wa.gov/dfw/score/score/species/population_details.jsp?stockId=1610","Yes","Final","Elise","Olk","360-696-6211","Elise.Olk@dfw.wa.gov","WDFW","12576",2022-08-15,"Lensegrav","1A61668A-0897-8D2B-6885-35E2C7CA36F8","No","1689",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No indicator data available this year. No age data availabe at this time",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45300072-b20d-4df2-b263-33c0a9b47f66","Chinook salmon","Fall","Willamette/Lower Columbia","Salmon, Chinook (Lower Columbia River ESU)","Cascade","217","Lewis River Fall (Tule) Chinook","Same","NOSA","Lewis River","2000","Washington Department of Fish and Wildlife","1","Yes","https://wdfw.wa.gov/publications/02214","Yes","Reviewed","Elise","Olk","360-696-6211","Elise.Olk@dfw.wa.gov",NA,"17377",2023-03-07,"Lensegrav","45300072-B20D-4DF2-B263-33C0A9B47F66","No","585","218","1491","0.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Estimates of Adult Fall Chinook Salmon Escapement in Lower Columbia River Tributaries, 1943-2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1ab8976e-a759-5241-b1a5-145b71b70373","Chinook salmon","Fall","Willamette/Lower Columbia","Salmon, Chinook (Lower Columbia River ESU)","Cascade","217","Lewis River Fall (Tule) Chinook","Same","NOSA","Lewis River","2001","Washington Department of Fish and Wildlife","1","Yes","https://fortress.wa.gov/dfw/score/score/species/population_details.jsp?stockId=1610","Yes","Final","Elise","Olk","360-696-6211","Elise.Olk@dfw.wa.gov","WDFW","12576",2022-08-15,"Lensegrav","1AB8976E-A759-5241-B1A5-145B71B70373","No","4132",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No indicator data available this year. No age data availabe at this time",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1457e41f-ed89-49bc-bcc2-c667b41ce69c","Chinook salmon","Fall","Willamette/Lower Columbia","Salmon, Chinook (Lower Columbia River ESU)","Cascade","217","Lewis River Fall (Tule) Chinook","Same","NOSA","Lewis River","2001","Washington Department of Fish and Wildlife","1","Yes","https://wdfw.wa.gov/publications/02214","Yes","Reviewed","Elise","Olk","360-696-6211","Elise.Olk@dfw.wa.gov",NA,"17377",2023-03-07,"Lensegrav","1457E41F-ED89-49BC-BCC2-C667B41CE69C","No","907","339","2311","0.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Estimates of Adult Fall Chinook Salmon Escapement in Lower Columbia River Tributaries, 1943-2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
